Stock A,Stock B,Correlation,Lag,Category
CHOLAFIN.NS,COALINDIA.NS,0.6052999431508981,-15,Positive
CHOLAFIN.NS,HDFCBANK.NS,0.38297953035629023,24,No Correlation
CHOLAFIN.NS,SUNPHARMA.NS,0.5907795317732208,24,Positive
CHOLAFIN.NS,ZOMATO.NS,0.5787838786007515,24,Positive
CHOLAFIN.NS,AXISBANK.NS,0.6494259189358872,2,Positive
CHOLAFIN.NS,JSWSTEEL.NS,0.6025208895654316,1,Positive
CHOLAFIN.NS,ICICIGI.NS,0.7273829245207012,23,Positive
CHOLAFIN.NS,NAUKRI.NS,0.4682562696927318,24,No Correlation
CHOLAFIN.NS,NESTLEIND.NS,0.2750677128075336,-4,No Correlation
CHOLAFIN.NS,RELIANCE.NS,0.40673856119050505,-21,No Correlation
CHOLAFIN.NS,INDIGO.NS,0.7585164928692217,-2,Positive
CHOLAFIN.NS,BHARTIARTL.NS,0.5490982879680927,4,Positive
CHOLAFIN.NS,ICICIBANK.NS,0.45784505476132736,21,No Correlation
CHOLAFIN.NS,WIPRO.NS,-0.27140378352118893,-24,No Correlation
CHOLAFIN.NS,POWERGRID.NS,0.6830305265191432,10,Positive
CHOLAFIN.NS,TITAN.NS,0.0,0,No Correlation
CHOLAFIN.NS,ATGL.NS,-0.3234794005044707,24,No Correlation
CHOLAFIN.NS,SHREECEM.NS,0.2735969647411252,1,No Correlation
CHOLAFIN.NS,ADANIPORTS.NS,0.6035052428973936,-19,Positive
CHOLAFIN.NS,SBILIFE.NS,0.7088107469458876,23,Positive
CHOLAFIN.NS,DRREDDY.NS,0.5693438047312779,18,Positive
CHOLAFIN.NS,TATACONSUM.NS,0.3873223318983069,-16,No Correlation
CHOLAFIN.NS,INFY.NS,0.47081997886112364,24,No Correlation
CHOLAFIN.NS,BRITANNIA.NS,0.7885175118874094,2,Positive
CHOLAFIN.NS,ZYDUSLIFE.NS,0.7248403955067549,-23,Positive
CHOLAFIN.NS,ADANIENT.NS,0.17388015474425,-18,No Correlation
CHOLAFIN.NS,HAL.NS,0.6455438051964633,-15,Positive
CHOLAFIN.NS,ADANIENSOL.NS,0.27457273117569797,-24,No Correlation
CHOLAFIN.NS,LODHA.NS,0.39390666628139875,-14,No Correlation
CHOLAFIN.NS,TCS.NS,0.5448694109455148,24,Positive
CHOLAFIN.NS,JINDALSTEL.NS,0.6185670584852411,-1,Positive
CHOLAFIN.NS,ITC.NS,0.7197477625028195,20,Positive
CHOLAFIN.NS,TATASTEEL.NS,0.30587610156885153,-19,No Correlation
CHOLAFIN.NS,HINDUNILVR.NS,0.8120019998274307,16,Positive
CHOLAFIN.NS,HDFCLIFE.NS,0.8075907239586538,24,Positive
CHOLAFIN.NS,BANKBARODA.NS,-0.29466349691591776,22,No Correlation
